Time,Theoretical,Seven_day_modulated,Fourteen_day_modulated,Twentyone_day_modulated,Different_day_modulated
0,0.7021366962212829,0.7012378511414317,0.7012378511414317,0.7012378511414317,0.7012378511414317
1,1.3329326223596296,1.6111526613090654,1.7012837033098618,1.6456490025299901,1.6111526613090654
2,1.9386562690348497,2.1824115463845994,2.485918289124568,2.3588327262913666,2.1824115463845994
3,2.589257571311445,2.9853527799276196,3.652779682831189,3.5027867650422944,2.9853527799276196
4,3.3399416931762707,3.3224564393237386,4.415248865066544,4.371107363799354,3.3224564393237386
5,4.230937704918803,3.563122464681644,4.885475295159837,5.158843349234489,3.563122464681644
6,5.291166014460402,4.730745265199633,5.750414547118984,6.6092409093708255,4.730745265199633
7,6.549054380160732,6.156801592614931,6.156801592614931,7.8582958318104135,6.156801592614931
8,8.030228116149445,9.183985143284648,7.636466710775641,10.320305003882115,9.183985143284648
9,9.758121697800425,10.53518509975081,7.485345856730168,11.044274981360342,10.53518509975081
10,11.756175255753915,11.666039421565525,7.819547340149766,11.78362445985505,11.666039421565525
11,14.049933747079017,14.682064658839355,11.060445909622475,14.541537492335353,14.682064658839355
12,16.66080252348215,14.311806091040609,11.703470623787634,13.442597215923673,14.311806091040609
13,19.605006650463526,18.864924173322315,17.539261009110202,16.090711772149657,18.864924173322315
14,22.902408701938263,19.285568055492565,19.285568055492565,13.33534773237287,19.285568055492565
15,26.566759496119392,25.101946095492437,26.898353262518583,15.670085167898133,25.101946095492437
16,30.617024088029343,33.00301957536953,37.79627426511149,21.455644461969328,33.00301957536953
17,35.0580023228414,38.85074372685339,47.88756345910926,27.843483743475087,38.85074372685339
18,39.89252578475929,39.7564106107403,52.80880913326558,31.784338298659357,39.7564106107403
19,45.122325726742886,45.663260506233875,59.76595813592221,41.557048346812465,45.663260506233875
20,50.74943404056943,50.39596475053596,60.175971430450765,49.08256768599929,50.39596475053596
21,56.766328938153386,48.921310997777766,48.921310997777766,48.921310997777766,48.921310997777766
22,63.15864598802583,61.31449845658817,49.1430921870428,62.94904634483596,61.31449845658817
23,69.91365138174697,83.57955076694635,61.72848104161394,89.94181779971886,83.57955076694635
24,77.01381071800647,81.11024998179747,55.91217266141417,96.5005933104072,81.11024998179747
25,84.43777160742134,74.89391456416786,53.12858653483776,101.40508014459948,74.89391456416786
26,92.16084293287608,91.40359976873286,76.975339486856,126.16255678079484,91.40359976873286
27,100.15406930718146,103.21549752661544,96.4432192614949,138.77268519099584,103.21549752661544
28,108.38395930167562,120.0023667733188,120.0023667733188,148.1613454087157,120.0023667733188
29,116.8226494681171,130.19161696664958,138.09100133854346,146.72264134580402,130.19161696664958
30,125.4381739923256,129.37160845034074,149.00960834323246,135.91582947204242,129.37160845034074
